This is supposed to be a CSV! Eventually it should be passed params and get all that data too!
vol_ox, 0.13001196399487333
vol_fuel, 0.1126971927846404
P_pres, 31026420.0
P_tank, 3447380.0
vol_pres, 0.030338644597439214
t_prop: ox tank, 0.004360005908713692
weight_fueltank, 31.461823985380402
weight_oxtank, 34.27678487857007
heightrocket, 7.227956768577297
heightfuel, 1.636835770526699
heightox, 1.8883188481003739
thrust chamber weight, 25.601424463283283
avbay weight, 12.156106959093567
foxhole weight, 6.2276795465748815
massNoseCone, 5.364160952089704
massFins, 4
massRecovery, 10
massRecoveryCoupler, 3.627496839959225
massPayloadCoupler, 2.49
massAirFrames, 22.410900949053904
massPayload, 2.5
Structures weight, 50.39255874110284
inert mass, 216.35347744041223
fuelmass, 89.23460053368511
oxmass, 141.94281985459403
lambda (massfrac), 0.5165619212212932
totalmass, 447.53089782869137
thrust, 17324.064718236918
time, 31.861480420225078
impulse, 551970.3488188176
rho_ox, 1091.7673688876139
rho_fuel, 791.8085475670072
pc, 2413166.0
pinj, 2479399.935034989
pe, 101352.972
g, 9.81
rm, 1.5906701997395298
phi, 1.2544460937237196
at, 0.005165807438522969
rt, 0.040550309219580874
cr, 4
rc, 0.08110061843916175
ac, 0.020663229754091877
l_star, 1.016
mol_weight, 22.697948637152248
gamma, 1.1294505304996
gamma_exit, 1.1710683985773653
gamma_throat, 1.1290367138011754
isp, 243.3892138291117
temp_c, 3251.7041051202073
rg, (0.36628860752603676,)
pr_throat, 0.4515136783844536
rho_throat, 1.2305791503922174
temp_e, 2313.8471609945723
v_exit, 2508.4258417695155
a_exit, 973.1704231803385
mach_exit, 2.5775812560886657
temp_throat, 3094.141112950214
p_throat, 4223067.011709564
v_throat, 1124.7870569464792
mdot, 7.255702413674791
mdot_ox, 4.4549976329565455
mdot_fuel, 2.8007047807182444
er, 4.4029879193344765
cstar, 1635.571098494561
cf, 1.3897106521969425
c_eff, NONE
rho_av, NONE
vc, NONE
theta_con, NONE
lc, 0.15225051536596812
theta_div, NONE
ln_conical, 0.17208012148142426
ln_bell, NONE
throat_radius_curvature, 0.0127
ae, 0.02274498774542481
re, 0.08508792194252887
nv, NONE
nvstar, NONE
nf, NONE
nw, NONE
fuelname, Ethanol
oxname, LOX
CEA, <rocketcea.cea_obj_w_units.CEA_Obj object at 0x7f06dbf480d0>
pambient, 101352.972
cf_efficiency, 0.95
isp_efficiency, 0.95
lstar, 1
dp, 1034214.0
prns, 0.4500741659081091
viscosityns, 1.078039282437987e-06
cpns, 6093.141505838266
Deltav, 1577.1851528513464
